feature,all_row_completeness,normal_row_completeness,anomaly_row_completeness
gps_speed_calc_mps,0.9982077673540267,0.9980517992207197,0.9982315966406172
gps_accel_mps2,0.9964155347080534,0.9961035984414394,0.9964631932812344
vertical_rate_calc,0.9982077673540267,0.9980517992207197,0.9982315966406172
local_alt_m,1.0,1.0,1.0
local_vertical_rate_mps,1.0,1.0,1.0
gps_speed_residual,0.9981773905295187,0.9980135992054396,0.9982024150670301
vertical_rate_residual,0.9981773905295187,0.9980135992054396,0.9982024150670301
roll_deg,1.0,1.0,1.0
roll_rate,0.9982077673540267,0.9980517992207197,0.9982315966406172
pitch_deg,1.0,1.0,1.0
pitch_rate,0.9982077673540267,0.9980517992207197,0.9982315966406172
yaw_rate,0.9982077673540267,0.9980517992207197,0.9982315966406172
roll_setpoint_error,1.0,1.0,1.0
roll_rate_error,0.9982077673540267,0.9980517992207197,0.9982315966406172
pitch_setpoint_error,1.0,1.0,1.0
pitch_rate_error,0.9982077673540267,0.9980517992207197,0.9982315966406172
yaw_rate_error,0.9982077673540267,0.9980517992207197,0.9982315966406172
attitude_error_mag,1.0,1.0,1.0
actuator_roll_cmd,1.0,1.0,1.0
actuator_pitch_cmd,1.0,1.0,1.0
actuator_yaw_cmd,1.0,1.0,1.0
actuator_thrust_cmd,1.0,1.0,1.0
actuator_effort,1.0,1.0,1.0
control_strain,1.0,1.0,1.0
vel_test_ratio,0.999984811587746,1.0,0.9999824910558477
pos_test_ratio,0.9968914382920124,0.9766597906639163,0.9999824910558477
hgt_test_ratio,0.999984811587746,1.0,0.9999824910558477
mag_test_ratio,0.999984811587746,1.0,0.9999824910558477
actuator_output_std,0.9969521919410285,0.9965619986247994,0.9970118068646734
actuator_output_range,0.9969521919410285,0.9965619986247994,0.9970118068646734
pos_horiz_accuracy,0.999984811587746,1.0,0.9999824910558477
pos_vert_accuracy,0.999984811587746,1.0,0.9999824910558477
vibe_0,0.999984811587746,1.0,0.9999824910558477
vibe_1,0.999984811587746,1.0,0.9999824910558477
vibe_2,0.999984811587746,1.0,0.9999824910558477
