canonical_case_id,domain,fault_family,evaluation_role,detected,false_alarm_events,detection_delay_s,policy
rfly_f2fe5b37a46d17f3ae5d,HIL,Environment,environment_robustness,False,0,,critical
rfly_8ffabb323d864c75a31c,HIL,Environment,environment_robustness,False,0,,critical
rfly_e24c9c5f0a802042dc8a,HIL,Environment,environment_robustness,False,0,,critical
rfly_1b590c77cb1e20d6d651,HIL,Environment,environment_robustness,False,0,,critical
rfly_6312ede449857a78e9bb,HIL,Environment,environment_robustness,False,0,,critical
rfly_134cec52d5239608f530,HIL,Environment,environment_robustness,False,0,,critical
rfly_068406cf1772b57e3214,HIL,Environment,environment_robustness,False,0,,critical
rfly_c777eca44cfdc7c2bcee,HIL,Environment,environment_robustness,False,0,,critical
rfly_bf8c1c2fecbc8ca6fea6,HIL,Environment,environment_robustness,False,0,,critical
rfly_cba8b11c2f15eee09117,HIL,Environment,environment_robustness,False,0,,critical
rfly_34f0b31b66fefec4d704,HIL,Environment,environment_robustness,False,0,,critical
rfly_7a4464c979d0dd80a9ae,HIL,Environment,environment_robustness,False,0,,critical
rfly_1b1e6befe1a48434690a,HIL,Environment,environment_robustness,False,0,,critical
rfly_077f7c830c76b8e36223,HIL,Environment,environment_robustness,False,0,,critical
rfly_4f5ad2f7522470ad2318,HIL,Environment,environment_robustness,False,0,,critical
rfly_4d0ba19934403e51dd3b,HIL,Environment,environment_robustness,False,0,,critical
rfly_82af2adc08e97ff93608,HIL,Environment,environment_robustness,False,0,,critical
rfly_2fb2c9c3d27aa20f102d,HIL,Environment,environment_robustness,False,0,,critical
rfly_f47864e345d9fb99e18f,HIL,Environment,environment_robustness,False,0,,critical
rfly_95d667a383f13302cd17,HIL,Environment,environment_robustness,False,0,,critical
rfly_63115d838d567abc405d,HIL,Environment,environment_robustness,False,0,,critical
rfly_dc07707c3c1da11128de,HIL,Environment,environment_robustness,False,0,,critical
rfly_704e231f791dd119ce2a,HIL,Environment,environment_robustness,False,0,,critical
rfly_097e5b35cd9e4bef962b,HIL,Environment,environment_robustness,False,0,,critical
rfly_16034db2b0faf0dcd235,HIL,Environment,environment_robustness,False,0,,critical
rfly_3eacbcaf27b71055bdb1,HIL,Environment,environment_robustness,False,0,,critical
rfly_abc52a645cb6122dcee9,HIL,Environment,environment_robustness,False,0,,critical
rfly_12c761973503e5943de5,HIL,Environment,environment_robustness,False,0,,critical
rfly_002a8c238bce42375339,HIL,Environment,environment_robustness,False,0,,critical
rfly_138c1e3700d43864d45e,HIL,Environment,environment_robustness,False,0,,critical
rfly_c7804653d58c99eadd81,HIL,Environment,environment_robustness,False,0,,critical
rfly_85387dd70a1829e6e4a1,HIL,Environment,environment_robustness,False,0,,critical
rfly_18ef9f83375d6461f364,HIL,Environment,environment_robustness,False,0,,critical
rfly_1d753e7d1d55b437063b,HIL,Environment,environment_robustness,False,0,,critical
rfly_7613a856a49b02efd05c,HIL,Environment,environment_robustness,False,0,,critical
rfly_2e72baa609b07f70b436,HIL,Environment,environment_robustness,False,0,,critical
rfly_777500c7b5c208ade01c,HIL,Environment,environment_robustness,False,0,,critical
rfly_ae805491654562e23721,HIL,Environment,environment_robustness,False,0,,critical
rfly_444c2c698d58975f31e4,HIL,Environment,environment_robustness,False,0,,critical
rfly_a9b08285ba6ed69e3820,HIL,Environment,environment_robustness,False,0,,critical
rfly_00536cf02989628c81ce,HIL,Environment,environment_robustness,False,0,,critical
rfly_d521fedefea7fc21e744,HIL,Environment,environment_robustness,False,0,,critical
rfly_b086138166814d73d097,HIL,Environment,environment_robustness,False,0,,critical
rfly_dcf52c130f980c69bc8e,HIL,Environment,environment_robustness,False,0,,critical
rfly_bb011835564ecd269f97,HIL,Environment,environment_robustness,False,0,,critical
rfly_f5f267a96a5f4aeee087,HIL,Environment,environment_robustness,False,0,,critical
rfly_819b89f2be031604ebb0,HIL,Environment,environment_robustness,False,0,,critical
rfly_dfbecbb05df60d9ad364,HIL,Environment,environment_robustness,False,0,,critical
rfly_224724f6bf959cf6dd36,HIL,Environment,environment_robustness,False,0,,critical
rfly_b082c12874dbf9acbf0c,HIL,Environment,environment_robustness,False,0,,critical
rfly_275ec670ee845df8494d,HIL,Environment,environment_robustness,False,0,,critical
rfly_f449fbf0fc327a8c1387,HIL,Environment,environment_robustness,False,0,,critical
rfly_13501b68fae548cdbb80,HIL,Environment,environment_robustness,False,0,,critical
rfly_41137e01b1d6d5dcfdbc,HIL,Environment,environment_robustness,False,0,,critical
rfly_4d8735bb52a47300116e,HIL,Environment,environment_robustness,False,0,,critical
rfly_915d2561494958ef3c33,HIL,Environment,environment_robustness,False,0,,critical
rfly_1cd101d1c07e85e16875,HIL,Environment,environment_robustness,False,1,,critical
rfly_e05cb89fb467aa7bfb15,HIL,Environment,environment_robustness,False,0,,critical
rfly_19f7af0de8b28174202c,HIL,Environment,environment_robustness,False,0,,critical
rfly_06fa4d7b7a772813b25c,HIL,Environment,environment_robustness,False,0,,critical
rfly_ecd863dc353153d8c5b5,HIL,Environment,environment_robustness,False,0,,critical
rfly_b8d66fd4a72a5ab026e0,HIL,Environment,environment_robustness,False,0,,critical
rfly_43de49fb8fe85a76d55f,HIL,Environment,environment_robustness,False,0,,critical
rfly_461e53ffde81dc3aed06,HIL,Environment,environment_robustness,False,0,,critical
rfly_bddad16e96d879aad6d8,HIL,Environment,environment_robustness,False,0,,critical
rfly_220a515731d71299d0df,HIL,Environment,environment_robustness,False,0,,critical
