source_id,label,is_anomaly,windows,duration_s,mean_score,max_score,alarm_windows,alarm_fraction,detected
carbonZ_2018-07-18-12-10-11_no_ground_truth,unknown,1,806,197.22244429588318,1.6178895461352232,2.2667529582977295,0,0.0,0
carbonZ_2018-07-18-16-37-39_1_no_failure,normal,0,94,22.55389952659607,1.5123717353699055,1.9927139282226562,0,0.0,0
carbonZ_2018-07-18-16-37-39_2_engine_failure_with_emr_traj,engine_fault,1,506,122.4865300655365,1.7930230429992373,2.8476369380950928,0,0.0,0
carbonZ_2018-07-30-16-29-45_engine_failure_with_emr_traj,engine_fault,1,556,134.31368684768677,1.5927846491765634,2.3486578464508057,0,0.0,0
carbonZ_2018-07-30-17-36-35_engine_failure_with_emr_traj,engine_fault,1,609,148.70950746536255,1.6229941545448867,2.8538453578948975,0,0.0,0
carbonZ_2018-09-11-14-22-07_1_engine_failure,engine_fault,1,435,106.14690661430359,1.5982841275204187,2.3114981651306152,0,0.0,0
carbonZ_2018-09-11-14-22-07_2_engine_failure,engine_fault,1,222,54.284900188446045,1.579647060450133,2.0428900718688965,0,0.0,0
carbonZ_2018-09-11-14-41-51_elevator_failure,elevator_fault,1,501,120.69519519805908,1.6083585433141439,2.3532347679138184,0,0.0,0
carbonZ_2018-09-11-14-42-06,normal,0,6067,1452.5547568798065,5.581321903651471,12.404349327087402,0,0.0,0
carbonZ_2018-10-05-15-55-10_engine_failure_with_emr_traj,engine_fault,1,440,105.37676739692688,1.5822691730477594,2.272871732711792,0,0.0,0
carbonZ_2018-10-18-11-03-57_engine_failure_with_emr_traj,engine_fault,1,449,108.49244332313538,1.6442221262407197,2.651040554046631,0,0.0,0
carbonZ_2018-10-18-11-08-24_no_failure,normal,0,78,18.536425352096558,2.02497977629686,2.6196253299713135,0,0.0,0
