tier,signature,flight_count,distinct_split_group_ids,spans_multiple_split_groups,spans_locked_and_development,canonical_case_ids,split_group_ids
duration_signature,SIL|Motor|Motor_1|151.2|1513,13,2,True,False,rfly_b42fd43e265de1cb00f8;rfly_3b0b769745c155b5f4be;rfly_7a42200e7623c6c64ee0;rfly_bd5cb45576970eb9b199;rfly_9c2e4f5460ff0594423d;rfly_ba3ff6b87886ce3e044b;rfly_2ff1e3616a7bf3acbe2e;rfly_42a38796a05cd61349e9;rfly_59d3adce104b126f7a1a;rfly_6bd314be671b4aca36c3;rfly_0168ff77e0a0afbd686d;rfly_daa6d7536aa6346164c9;rfly_1aed463d4c6a440b11b2,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-2;simulation_scenario:SIL_Motor_2/waypoint-motor-1
duration_signature,SIL|Load|Load_Loss|98.0|981,12,2,True,False,rfly_6860afdc5fbc3ec6c68a;rfly_49e0394a94a1b85b0bea;rfly_091860980e411b081b6b;rfly_1dff7cad3f9dab7ffc98;rfly_a91b265ef84058cfeacc;rfly_27ff1b3f4c83255f90a3;rfly_de2d8279a59c18d9b663;rfly_a70f9f388bbd179ed9f1;rfly_178fae822733d9b42616;rfly_62511cb52114ae301466;rfly_e482b13519b7eea3d6e8;rfly_bc5ca4ab68d6adf7f137,simulation_scenario:SIL-Load/SIL-Load/dece-load;simulation_scenario:SIL-Load/SIL-Load/velocity-load
duration_signature,SIL|Motor|Motor_1|151.7|1518,12,2,True,False,rfly_70a10b07bafa861229d1;rfly_ccda87c315f83476d880;rfly_4604a9716507083db46c;rfly_eac8e459e41109062262;rfly_283c40b56a4d6c70da24;rfly_6752f3fdc25d6e8597bb;rfly_58a4502e75c6f0412612;rfly_2cbfb03b0af017314162;rfly_b21f7bb205579331e7d7;rfly_70590b6d80a9fa92fa3c;rfly_eee25a94a850c68f1483;rfly_c122cebe752ea2980384,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-2;simulation_scenario:SIL_Motor_2/waypoint-motor-1
duration_signature,SIL|Motor|Motor_1|152.0|1521,11,2,True,False,rfly_3ec913ce6bb9e632922e;rfly_ac6196ac71a2232bafe2;rfly_cee665b669fa64d950ef;rfly_f05e392a6d30c5ee96b1;rfly_1698a59ab22032655807;rfly_13a1110ae3528d088f0b;rfly_54de4839f8e4ddf38c74;rfly_adfe96cf08394497a2cb;rfly_e670122750916225599a;rfly_4311891ae9254dd5a0db;rfly_0330b035e73aff99a981,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-2;simulation_scenario:SIL_Motor_2/waypoint-motor-1
duration_signature,SIL|Motor|Motor_1|151.1|1512,10,2,True,False,rfly_7ef725be00605a8f6b17;rfly_ee70837dc8920d85cd9d;rfly_6c1343cf07bd7c9a77cb;rfly_3196e462bf1ba7634d96;rfly_169b2aeb878b717b4bfb;rfly_fc4343d29e9f51321804;rfly_1f45430a77ce3718baa2;rfly_ec5c8ec6b8158ff6d128;rfly_f2d7386b04deda521df1;rfly_a1af0b4ba146a5bde09f,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-2;simulation_scenario:SIL_Motor_2/waypoint-motor-1
duration_signature,SIL|Motor|Motor_1|151.4|1515,10,2,True,False,rfly_4288ba776921e089b13c;rfly_4a553ce73ba6cdb81228;rfly_dd81700658edc2b83a41;rfly_52b1c0b5498e255e9657;rfly_ee9cabf5eaaa6aab2dcc;rfly_b6a01efc63d04a094aee;rfly_4a95e74b21030f7f080f;rfly_a3afcdde5192ccee8d56;rfly_1bb659caee71878e6dc9;rfly_915949797cc9008731b8,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-2;simulation_scenario:SIL_Motor_2/waypoint-motor-1
duration_signature,SIL|Motor|Motor_1|152.2|1523,10,2,True,False,rfly_ea34ad59ee591eb3294b;rfly_c529405127a0e8dee456;rfly_e2a8a154b546a75b518c;rfly_906508c20d90a26ea908;rfly_17ccec114c5e09725b77;rfly_a0ef6c034593603471a0;rfly_bb48cc1d479c3261cf90;rfly_51685c7a9ac4374dbd96;rfly_b8684f3dd529d80d1a4c;rfly_1c585e1d32a25648a5ac,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-2;simulation_scenario:SIL_Motor_2/waypoint-motor-1
duration_signature,SIL|Motor|Motor_1|152.4|1525,10,2,True,False,rfly_23e9c3a76872f942ce32;rfly_a1dc80261e10b0991777;rfly_8804ca2614f1a35ad313;rfly_1a3556d1e751f5a3dc15;rfly_c4de6d78c0f32dba67ee;rfly_25c55a23239b314673fa;rfly_a4ee9f59ae1944a581c8;rfly_2bd8a96f35679b5dfab2;rfly_d1b74cab6ca459503637;rfly_f571acb44d59b0b08588,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-2;simulation_scenario:SIL_Motor_2/waypoint-motor-1
duration_signature,SIL|Motor|Motor_1|151.9|1520,9,2,True,False,rfly_81617a81a2de46aff6b9;rfly_1f7ffa2ed52d6447162d;rfly_06b057d93fae7639a6b5;rfly_302aa68551be49fcb640;rfly_c2fe7bc1813005b0fd56;rfly_260edf9780d0986b07a4;rfly_cc7722763d5d2dd0b2d3;rfly_4ab57d959d394879dc2b;rfly_66ea6f72ba5c730f66c6,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-2;simulation_scenario:SIL_Motor_2/waypoint-motor-1
duration_signature,SIL|Sensor|Gyroscope|135.0|1351,9,2,True,False,rfly_3ff45ed58271af8fbefc;rfly_daea331128c02b1cabbb;rfly_ed4122740a679e8517f7;rfly_8c678aee4fe049677386;rfly_822590b59ce9418c8ebf;rfly_4687568881658b38fda6;rfly_40216706d6a085a03fdc;rfly_550dd2daadabf581dbc7;rfly_7bcb425c9054ce9625a9,simulation_scenario:SIL-Sensors/circling-gyro;simulation_scenario:SIL-Sensors/waypoint-gyro
