feature,aileron_fault,aileron_rudder_fault,elevator_fault,engine_fault,normal,rudder_fault,unknown
roll_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
pitch_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
airspeed_error,1.0,1.0,1.0,0.7037360989628889,0.611380985426787,1.0,1.0
yaw_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
velocity_error,1.0,1.0,1.0,0.7037360989628889,0.611380985426787,1.0,1.0
abs_roll_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
abs_pitch_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
abs_yaw_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
abs_airspeed_error,1.0,1.0,1.0,0.7037360989628889,0.611380985426787,1.0,1.0
alt_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
aspd_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
xtrack_error,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
wp_dist,1.0,1.0,1.0,0.7037360989628889,0.611323155216285,1.0,1.0
path_dev_mag,1.0,1.0,1.0,1.0,0.9340157298172566,0.6670071501532175,1.0
roll_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
pitch_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
yaw_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
altitude_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.9985005622891415,0.9990747166319686,0.9969356486210419,0.9988066825775657
airspeed_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102822114272496,0.9969356486210419,0.9988066825775657
roll_error_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
pitch_error_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
yaw_error_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
roll_command_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
pitch_command_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
yaw_command_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7021741846807448,0.6102243812167476,0.9969356486210419,0.9988066825775657
gps_step_m,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.9985005622891415,0.9990747166319686,0.9969356486210419,0.9988066825775657
gps_speed_calc_mps,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.9985005622891415,0.9990747166319686,0.9969356486210419,0.9988066825775657
gps_accel_mps2,0.9964313025745603,0.995850622406639,0.995260663507109,0.9970011245782832,0.9981494332639371,0.9938712972420838,0.9976133651551312
dist_from_start_m,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gps_speed_residual,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.9985005622891415,0.9990168864214666,0.9969356486210419,0.9988066825775657
turn_residual,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7017993252530301,0.18898912792042563,0.9969356486210419,0.9988066825775657
specific_energy,1.0,1.0,1.0,1.0,0.999942169789498,1.0,1.0
energy_rate,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.9985005622891415,0.9989590562109646,0.9969356486210419,0.9988066825775657
throttle,1.0,1.0,1.0,1.0,0.999942169789498,1.0,1.0
energy_rate_x_throttle,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.9985005622891415,0.9989590562109646,0.9969356486210419,0.9988066825775657
climb_rate_ms,1.0,1.0,1.0,1.0,0.999942169789498,1.0,1.0
climb_residual,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.9985005622891415,0.9990168864214666,0.9969356486210419,0.9988066825775657
roll_error_2s_mean,1.0,1.0,1.0,0.7050481069598901,0.6141568355308813,1.0,1.0
roll_error_2s_std,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7032987629638885,0.6126532500578302,0.9969356486210419,0.9988066825775657
roll_error_2s_max,1.0,1.0,1.0,0.7050481069598901,0.6141568355308813,1.0,1.0
roll_error_2s_rms,1.0,1.0,1.0,0.7050481069598901,0.6141568355308813,1.0,1.0
roll_error_5s_mean,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
roll_error_5s_std,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7055479195301761,0.6175109877399954,0.9969356486210419,0.9988066825775657
roll_error_5s_max,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
roll_error_5s_rms,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
pitch_error_2s_mean,1.0,1.0,1.0,0.7050481069598901,0.6141568355308813,1.0,1.0
pitch_error_2s_std,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7032987629638885,0.6126532500578302,0.9969356486210419,0.9988066825775657
pitch_error_2s_max,1.0,1.0,1.0,0.7050481069598901,0.6141568355308813,1.0,1.0
pitch_error_2s_rms,1.0,1.0,1.0,0.7050481069598901,0.6141568355308813,1.0,1.0
pitch_error_5s_mean,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
pitch_error_5s_std,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7055479195301761,0.6175109877399954,0.9969356486210419,0.9988066825775657
pitch_error_5s_max,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
pitch_error_5s_rms,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
yaw_error_5s_mean,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
yaw_error_5s_std,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7055479195301761,0.6175109877399954,0.9969356486210419,0.9988066825775657
yaw_error_5s_max,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
yaw_error_5s_rms,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
airspeed_error_5s_mean,1.0,1.0,1.0,0.7072972635261777,0.6190724034235484,1.0,1.0
airspeed_error_5s_std,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7055479195301761,0.6175688179504973,0.9969356486210419,0.9988066825775657
airspeed_error_5s_max,1.0,1.0,1.0,0.7072972635261777,0.6190724034235484,1.0,1.0
airspeed_error_5s_rms,1.0,1.0,1.0,0.7072972635261777,0.6190724034235484,1.0,1.0
xtrack_error_5s_mean,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
xtrack_error_5s_std,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7055479195301761,0.6175109877399954,0.9969356486210419,0.9988066825775657
xtrack_error_5s_max,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
xtrack_error_5s_rms,1.0,1.0,1.0,0.7072972635261777,0.6190145732130465,1.0,1.0
turn_residual_5s_mean,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7057353492440335,0.1944829979181124,0.9969356486210419,0.9988066825775657
turn_residual_5s_std,0.9964313025745603,0.995850622406639,0.995260663507109,0.703986005248032,0.19326856349757113,0.9938712972420838,0.9976133651551312
turn_residual_5s_max,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7057353492440335,0.1944829979181124,0.9969356486210419,0.9988066825775657
turn_residual_5s_rms,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7057353492440335,0.1944829979181124,0.9969356486210419,0.9988066825775657
roll_error_cusum_pos,1.0,1.0,1.0,1.0,1.0,1.0,1.0
roll_error_cusum_neg,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pitch_error_cusum_pos,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pitch_error_cusum_neg,1.0,1.0,1.0,1.0,1.0,1.0,1.0
alt_error_cusum_pos,1.0,1.0,1.0,1.0,1.0,1.0,1.0
alt_error_cusum_neg,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xtrack_error_cusum_pos,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xtrack_error_cusum_neg,1.0,1.0,1.0,1.0,1.0,1.0,1.0
roll_ewma_dev,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7022366612520304,0.6105135322692574,0.9969356486210419,0.9988066825775657
pitch_ewma_dev,0.9982156512872802,0.9979253112033195,0.9976303317535545,0.7022366612520304,0.6105135322692574,0.9969356486210419,0.9988066825775657
roll_spec_energy_5s,0.9946469538618404,0.9937759336099585,0.9928909952606635,0.9955016868674247,0.9972241498959056,0.9908069458631257,0.9964200477326969
pitch_spec_energy_5s,0.9946469538618404,0.9937759336099585,0.9928909952606635,0.9955016868674247,0.9972241498959056,0.9908069458631257,0.9964200477326969
airspeed_frozen_count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gps_frozen_count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
airspeed_available,1.0,1.0,1.0,1.0,1.0,1.0,1.0
in_air,1.0,1.0,1.0,1.0,1.0,1.0,1.0
