domain,fault_family,local_x,local_y,local_z,local_vx,local_vy,local_vz,local_ax,local_ay,local_az,roll_deg,pitch_deg,yaw_deg,act_roll,act_pitch,act_yaw,act_thrust,output_mean,output_std,output_range,battery_voltage,battery_current,battery_remaining,vel_test_ratio,pos_test_ratio,hgt_test_ratio,mag_test_ratio,gps_eph,gps_epv,gps_satellites
Real,NoFault,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9816926770708283,1.0,1.0,0.9816926770708283,0.9816926770708283,0.0
Real,Motor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9913833958037137,1.0,1.0,0.9913833958037137,0.9913833958037137,0.0
Real,Sensor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HIL,NoFault,0.999566599248772,0.999566599248772,0.999566599248772,0.999566599248772,0.999566599248772,0.999566599248772,0.999566599248772,0.999566599248772,0.999566599248772,0.9997832996243861,0.9997832996243861,0.9997832996243861,0.9997832996243861,0.9997832996243861,0.9997832996243861,0.9997832996243861,0.9997832996243861,0.9997832996243861,0.9997832996243861,0.0,0.0,0.9991331984975441,0.9991331984975441,0.9991331984975441,0.9991331984975441,0.9991331984975441,0.9993498988731581,0.9993498988731581,0.0
HIL,Motor,0.9993310705348958,0.9993310705348958,0.9993310705348958,0.9993310705348958,0.9993310705348958,0.9993310705348958,0.9993310705348958,0.9993310705348958,0.9993310705348958,0.999677922850135,0.999677922850135,0.999677922850135,0.9996903104328222,0.9996903104328222,0.9996903104328222,0.9996903104328222,0.999677922850135,0.999677922850135,0.999677922850135,0.0,0.0,0.9989594430542824,0.9989718306369695,0.9989718306369695,0.9989718306369695,0.9989718306369695,0.9993930084483313,0.9993930084483313,0.0
HIL,Propeller,0.9994109330819981,0.9994109330819981,0.9994109330819981,0.9994109330819981,0.9994109330819981,0.9994109330819981,0.9994109330819981,0.9994109330819981,0.9994109330819981,0.9996465598491989,0.9996465598491989,0.9996465598491989,0.9996465598491989,0.9996465598491989,0.9996465598491989,0.9996465598491989,0.9996465598491989,0.9996465598491989,0.9996465598491989,0.0,0.0,0.9990574929311969,0.9992342130065975,0.9992342130065975,0.9992342130065975,0.9992342130065975,0.9994698397737983,0.9994698397737983,0.0
HIL,Sensor,0.9991901614027158,0.9991901614027158,0.9991901614027158,0.9991901614027158,0.9991901614027158,0.9991901614027158,0.9991901614027158,0.9991901614027158,0.9991901614027158,0.9995856639734825,0.9995856639734825,0.9995856639734825,0.9995856639734825,0.9995856639734825,0.9995856639734825,0.9995856639734825,0.9995668305177317,0.9995668305177317,0.9995668305177317,0.0,0.0,0.9987193250089459,0.9987193250089459,0.9987193250089459,0.9987193250089459,0.9987193250089459,0.9990959941239618,0.9990959941239618,0.0
HIL,Environment,0.9994212165476946,0.9994212165476946,0.9994212165476946,0.9994212165476946,0.9994212165476946,0.9994212165476946,0.9994212165476946,0.9994212165476946,0.9994212165476946,0.9997795110657884,0.9997795110657884,0.9997795110657884,0.9998070721825648,0.9998070721825648,0.9998070721825648,0.9998070721825648,0.9997795110657884,0.9997795110657884,0.9997795110657884,0.0,0.0,0.9990077997960477,0.9990077997960477,0.9990077997960477,0.9990077997960477,0.9990077997960477,0.9993385331973652,0.9993385331973652,0.0
SIL,NoFault,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9572610028338442,0.9572610028338442,0.9572610028338442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9845584408073564,0.8972876062691574,0.8972876062691574,1.0,1.0,0.9557573304030998,0.9557573304030998,0.0
SIL,Motor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9696256994449027,0.9696256994449027,0.9696256994449027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9859219296876741,0.9290300287580534,0.9290300287580534,1.0,1.0,0.9701272933990236,0.9701272933990236,0.0
SIL,Propeller,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9610341904492795,0.9610341904492795,0.9610341904492795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9880192144673636,0.9113591410002826,0.9113591410002826,1.0,1.0,0.9628708674766884,0.9628708674766884,0.0
SIL,Sensor,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9632796003502085,0.9632796003502085,0.9632796003502085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9882920464884724,0.9172889735798527,0.9172889735798527,1.0,1.0,0.9646186331565123,0.9646186331565123,0.0
SIL,Environment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9652579050682307,0.9652579050682307,0.9652579050682307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9854787976255233,0.9254310242887213,0.9254310242887213,1.0,1.0,0.968734479578081,0.968734479578081,0.0
