source_id,label,is_anomaly,windows,duration_s,mean_score,max_score,alarm_windows,alarm_fraction,detected
carbonZ_2018-07-18-16-22-01_engine_failure_with_emr_traj,engine_fault,1,513,124.32999229431152,1.8794786381675022,3.4671127796173096,3,0.005847953216374269,1
carbonZ_2018-07-30-17-20-01_engine_failure_with_emr_traj,engine_fault,1,401,98.31511282920837,2.0253217428402412,5.316540241241455,25,0.06234413965087282,1
carbonZ_2018-09-11-11-33-39,normal,0,1953,453.9994406700134,0.8027039633349276,56.543609619140625,28,0.014336917562724014,1
carbonZ_2018-09-11-11-56-30_engine_failure,engine_fault,1,480,116.29797172546387,3.129086834937334,5.7373456954956055,197,0.41041666666666665,1
carbonZ_2018-09-11-14-41-38_no_failure,normal,0,147,35.24367308616638,1.8288305932972706,2.3852829933166504,0,0.0,0
carbonZ_2018-09-11-14-52-54_left_aileron__right_aileron__failure,aileron_fault,1,925,225.34581398963928,1.8339106719558302,3.0406088829040527,0,0.0,0
carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder_fault,1,260,62.27388954162598,1.8809899765711564,3.3654744625091553,1,0.0038461538461538464,1
carbonZ_2018-09-11-15-06-34_2_rudder_right_failure,rudder_fault,1,254,61.031675815582275,1.846404955612393,2.665133237838745,0,0.0,0
carbonZ_2018-09-11-15-06-34_3_rudder_left_failure,rudder_fault,1,256,61.43513011932373,1.8010045527480543,2.269045352935791,0,0.0,0
carbonZ_2018-09-11-17-27-13_1_rudder_zero__left_aileron_failure,aileron_rudder_fault,1,563,135.7732117176056,1.8371259537302156,2.8453421592712402,0,0.0,0
carbonZ_2018-09-11-17-27-13_2_both_ailerons_failure,aileron_fault,1,389,93.73719477653503,1.8772613349487972,3.827039957046509,2,0.005141388174807198,1
carbonZ_2018-10-18-11-04-00_engine_failure_with_emr_traj,engine_fault,1,477,114.71637797355652,1.7835080151288014,2.3422818183898926,0,0.0,0
carbonZ_2018-10-18-11-04-35_engine_failure_with_emr_traj,engine_fault,1,419,101.20741844177246,1.7977712111712072,3.349663019180298,1,0.002386634844868735,1
