domain,feature,normal_median,fault_active_median,normal_iqr,robust_median_shift,normal_rows,fault_active_rows
Real,local_x,1.1762216091156006,24.99412727355957,27.83732428215444,0.8556104453363084,3332,12121
Real,local_y,0.4094020128250122,0.8218989372253418,9.610526770353317,0.042921364692808064,3332,12121
Real,local_z,-9.58835220336914,-14.858383178710938,9.693324565887451,-0.5436763145111205,3332,12121
Real,local_vx,0.00263000326231122,0.030195096507668495,0.24139054492115974,0.11419293046470218,3332,12121
Real,local_vy,0.011369284242391586,-0.07881438732147217,0.24995902366936207,-0.360793837186875,3332,12121
Real,local_vz,0.007462502922862768,0.012689873576164246,0.439223637804389,0.011901387364833765,3332,12121
Real,local_ax,-0.011234612204134464,0.013590922579169273,1.3387451767921448,0.01854388433660871,3332,12121
Real,local_ay,-0.010747252032160759,0.0018383084097877145,0.8147671520709991,0.015446819081014852,3332,12121
Real,local_az,-0.012757604941725731,0.02983824536204338,1.464755043387413,0.02908052689999019,3332,12121
Real,roll_deg,-1.8475730419158936,-2.080822467803955,3.8755626380443573,-0.06018466160200193,3332,12121
Real,pitch_deg,-1.7551484107971191,-4.011624336242676,3.4736161679029465,-0.649604278761695,3332,12121
Real,yaw_deg,-21.66065216064453,-15.68193244934082,12.844184875488281,0.46548066453897297,3332,12121
Real,act_roll,0.0011631320230662823,-0.024336395785212517,0.023202100303024054,-1.0990181035730027,3332,12121
Real,act_pitch,-0.04144613817334175,-0.060835666954517365,0.03740394255146384,-0.5183819527713606,3332,12121
Real,act_yaw,0.007132356986403465,0.008634699508547783,0.010851696279132739,0.13844310451567338,3332,12121
Real,act_thrust,0.33482325077056885,0.3492286503314972,0.03633260726928711,0.39648681015814685,3332,12121
Real,output_mean,1378.3333740234375,1387.5,23.0,0.3985489555027174,3332,12121
Real,output_std,99.0723648071289,108.54569244384766,21.026681900024414,0.45053840076915563,3332,12121
Real,output_range,223.0,260.0,57.0,0.6491228070175439,3332,12121
Real,battery_remaining,0.6046189665794373,0.7089218497276306,0.2939729392528534,0.3548043687738206,3332,12121
Real,vel_test_ratio,0.03117804229259491,0.033885709941387177,0.030143612530082464,0.0898255856390833,3332,12121
Real,pos_test_ratio,0.020805776119232178,0.026400335133075714,0.032558081205934286,0.1718331918412879,3271,12106
Real,hgt_test_ratio,0.013192436657845974,0.017812179401516914,0.02467961166985333,0.18718863187438456,3332,12121
Real,mag_test_ratio,0.03890487924218178,0.051145683974027634,0.048593287356197834,0.25190320305186353,3332,12121
Real,gps_eph,0.7880000472068787,0.7980000376701355,0.13199996948242188,0.07575752102418866,3271,12106
Real,gps_epv,1.127000093460083,1.1260000467300415,0.24149996042251587,-0.004140980927250976,3271,12106
