,local_x,local_y,local_z,local_vx,local_vy,local_vz,local_ax,local_ay,local_az,roll_deg,pitch_deg,yaw_deg,act_roll,act_pitch,act_yaw,act_thrust,output_mean,output_std,output_range,battery_remaining,vel_test_ratio,pos_test_ratio,hgt_test_ratio,mag_test_ratio,gps_eph,gps_epv
local_x,0.0,0.03878721372980501,-0.011427647066753421,-0.15585475854755348,0.18388572946841988,-0.0556316660910558,-0.06604306095580777,0.013037700811475622,0.012968553051818356,0.13862675160495533,-0.07222761411972634,0.1432266239164168,0.04453683678989581,0.025954740146068578,-0.036408781020318144,0.054068798149853284,0.008203939851114103,-0.08978399848356733,-0.08036883425787528,0.09984999405626327,-0.040123430651554104,-0.015045606567295117,-0.004621867250667461,0.003933791683914889,0.026382412473250842,0.028555418482407006
local_y,0.03878721372980501,0.0,-0.005789500267240934,-0.28825882061979985,-0.2160104665494773,0.027635099315574337,-0.02273701927464511,-0.11181128423813289,-0.04728702638950279,0.09953094935298096,-0.22032406238920638,0.08062321814762326,0.00597859952758123,-0.06207718159563819,-0.07061301398678087,-0.0720600391193438,-0.01695969799170477,-0.10550040690139567,-0.11402898466545577,-0.07859581825366223,0.0737562514625223,0.026187448191335817,-0.034810064638862145,-0.022763777758252744,-0.05550971731962285,-0.05693115039443269
local_z,-0.011427647066753421,-0.005789500267240934,0.0,0.07554005208425121,-0.16442401681276392,-0.15548274241686771,0.004533353464289378,0.00795189736471811,-0.10458799874331906,-0.06047231090414086,-0.06629340183831128,0.1289797691886679,-0.11772797590262363,-0.03728374826736197,-0.05688658596577602,0.3385542388924593,0.3613911927952467,0.1421954007139968,0.18988511850255319,-0.26965371343063566,-0.011428880627442715,-0.047584567162594654,0.0068955948677139715,0.020538862170349365,-0.21764186935751137,-0.21939157814991406
local_vx,-0.15585475854755348,-0.28825882061979985,0.07554005208425121,0.0,0.11247744011373162,0.027927701491881292,-0.0019679210835978622,0.07241841902202681,-0.013132945967447018,-0.009532442654746148,0.14656818887558423,-0.04054529036651894,-0.015239795318967363,0.144034382503808,-0.015527068420374424,0.06807508628985033,0.08150540820907526,-0.1510332721338585,-0.15522913678113945,0.10051548253230802,-0.08955201865918715,-0.014767223763640785,-0.0007392396892961645,0.016617766720407726,0.05796362088779078,0.05731448345593527
local_vy,0.18388572946841988,-0.2160104665494773,-0.16442401681276392,0.11247744011373162,0.0,0.03879046169246697,-0.050761971915732174,0.07447709083196206,0.002040880029250373,-0.03095241377194427,-0.14044948015250638,0.2472196310438428,0.010618263144337281,-0.06609068735606163,-0.0897890542052974,-0.04844940203481975,0.05077889194140239,-0.03856330829061941,-0.09668584612026353,-0.07097070607912427,-0.018963787194522304,-0.02333379846736633,-0.059880901562927615,-0.025214512952174764,-0.05846242696964602,-0.0591700915168164
local_vz,-0.0556316660910558,0.027635099315574337,-0.15548274241686771,0.027927701491881292,0.03879046169246697,0.0,0.04279416242822533,-0.029560755137163684,-0.01066771342375189,-0.04738102778134861,0.09730787921310824,-0.09052498050644261,-0.005168945519871864,0.14623619775136837,-0.029011888032271352,0.21625522708262623,0.10310865190321436,0.08065925637866866,0.13961138127869382,0.061113277553466044,-0.07586793408840699,-0.03145521743065891,0.09252830306735417,-0.0758798781423545,-0.06518860889409753,-0.06576685404230385
local_ax,-0.06604306095580777,-0.02273701927464511,0.004533353464289378,-0.0019679210835978622,-0.050761971915732174,0.04279416242822533,0.0,0.055279244790215225,-0.06127469219128419,0.07029058308355446,0.013251353299352703,-0.15340009730878457,0.006154234601565779,-0.022838914716613756,0.0016423790989707281,-0.023433464694626732,-0.03821447201753992,0.028890210896644643,0.028407048077590216,0.035149433423973905,0.014526234528031784,-0.002291903631965587,0.016736791681895433,0.03159000361964007,0.007654158025517328,0.007606150036564709
local_ay,0.013037700811475622,-0.11181128423813289,0.00795189736471811,0.07241841902202681,0.07447709083196206,-0.029560755137163684,0.055279244790215225,0.0,0.0689360784843532,-0.0783357847938403,0.027140035066332883,0.08450466946843366,0.017907515063392485,0.029710075137075367,-0.034682513236040824,0.0783780278503392,0.05701264805033574,-0.0011005887837850538,0.006522354037905688,-0.00045866958748035785,0.008992128870839732,0.03112769718248565,-0.0005429789335387085,0.09092742328527026,0.013558426284434703,0.013743978350263529
local_az,0.012968553051818356,-0.04728702638950279,-0.10458799874331906,-0.013132945967447018,0.002040880029250373,-0.01066771342375189,-0.06127469219128419,0.0689360784843532,0.0,0.018840247543580515,-0.02832716557918882,0.003005950510239024,-0.011616417704543438,-0.02655246372671676,0.016696493618617667,-0.07725093320679637,-0.06376385833730194,0.04617013290137499,0.026064693226242636,0.05314724944399975,-0.0011027374667200059,-0.008547829390420337,-0.056545386552493096,0.0017864517555572657,0.016278559413353176,0.01604447184790906
roll_deg,0.13862675160495533,0.09953094935298096,-0.06047231090414086,-0.009532442654746148,-0.03095241377194427,-0.04738102778134861,0.07029058308355446,-0.0783357847938403,0.018840247543580515,0.0,0.004782659142968382,-0.3739460906409676,0.06917385563461047,-0.04289228568899467,0.026667618253175575,0.19818102410180133,0.0006234755542278009,0.0915117033750737,0.1814464680236106,-0.08841441393517938,0.11970378642280945,0.051896571350902934,0.09403243730688851,0.24040008602650204,0.06768031997750909,0.07131521844758887
