cohort,feature_a,feature_b,rho_delta,abs_delta
fault_minus_normal,output_range,battery_remaining,0.4747892284493371,0.4747892284493371
fault_minus_normal,output_std,battery_remaining,0.46104901039796964,0.46104901039796964
fault_minus_normal,roll_deg,yaw_deg,-0.3739460906409676,0.3739460906409676
fault_minus_normal,local_z,output_mean,0.3613911927952467,0.3613911927952467
fault_minus_normal,local_z,act_thrust,0.3385542388924593,0.3385542388924593
fault_minus_normal,act_thrust,hgt_test_ratio,-0.29385318493280194,0.29385318493280194
fault_minus_normal,local_y,local_vx,-0.28825882061979985,0.28825882061979985
fault_minus_normal,yaw_deg,gps_epv,0.2784531331796302,0.2784531331796302
fault_minus_normal,yaw_deg,gps_eph,0.27630903379770344,0.27630903379770344
fault_minus_normal,local_z,battery_remaining,-0.26965371343063566,0.26965371343063566
fault_minus_normal,battery_remaining,mag_test_ratio,0.2516248111300387,0.2516248111300387
fault_minus_normal,local_vy,yaw_deg,0.2472196310438428,0.2472196310438428
fault_minus_normal,roll_deg,mag_test_ratio,0.24040008602650204,0.24040008602650204
fault_minus_normal,local_y,pitch_deg,-0.22032406238920638,0.22032406238920638
fault_minus_normal,local_z,gps_epv,-0.21939157814991406,0.21939157814991406
fault_minus_normal,local_z,gps_eph,-0.21764186935751137,0.21764186935751137
fault_minus_normal,local_vz,act_thrust,0.21625522708262623,0.21625522708262623
fault_minus_normal,local_y,local_vy,-0.2160104665494773,0.2160104665494773
fault_minus_normal,output_mean,hgt_test_ratio,-0.21510388876090958,0.21510388876090958
fault_minus_normal,output_mean,mag_test_ratio,-0.2078003521876202,0.2078003521876202
fault_minus_normal,battery_remaining,gps_epv,0.20195931585028598,0.20195931585028598
fault_minus_normal,act_roll,gps_eph,-0.19842046918112294,0.19842046918112294
fault_minus_normal,roll_deg,act_thrust,0.19818102410180133,0.19818102410180133
fault_minus_normal,battery_remaining,gps_eph,0.19814111153945846,0.19814111153945846
fault_minus_normal,act_thrust,battery_remaining,0.19295155416461565,0.19295155416461565
fault_minus_normal,act_roll,gps_epv,-0.19254565686518568,0.19254565686518568
fault_minus_normal,local_z,output_range,0.18988511850255319,0.18988511850255319
fault_minus_normal,act_pitch,battery_remaining,-0.1863499678195446,0.1863499678195446
fault_minus_normal,local_x,local_vy,0.18388572946841988,0.18388572946841988
fault_minus_normal,yaw_deg,act_thrust,0.18371229600639608,0.18371229600639608
fault_minus_normal,roll_deg,output_range,0.1814464680236106,0.1814464680236106
fault_minus_normal,pitch_deg,gps_eph,0.17321431395369838,0.17321431395369838
fault_minus_normal,pitch_deg,gps_epv,0.17267736974522346,0.17267736974522346
fault_minus_normal,act_thrust,mag_test_ratio,-0.16981708980537832,0.16981708980537832
fault_minus_normal,local_z,local_vy,-0.16442401681276392,0.16442401681276392
fault_minus_normal,yaw_deg,hgt_test_ratio,0.15729266843401532,0.15729266843401532
fault_minus_normal,local_x,local_vx,-0.15585475854755348,0.15585475854755348
fault_minus_normal,local_z,local_vz,-0.15548274241686771,0.15548274241686771
fault_minus_normal,local_vx,output_range,-0.15522913678113945,0.15522913678113945
fault_minus_normal,local_ax,yaw_deg,-0.15340009730878457,0.15340009730878457
fault_minus_normal,act_thrust,gps_epv,-0.15188692932740927,0.15188692932740927
fault_minus_normal,act_thrust,gps_eph,-0.1518803614708134,0.1518803614708134
fault_minus_normal,output_mean,battery_remaining,0.15153441570485834,0.15153441570485834
fault_minus_normal,local_vx,output_std,-0.1510332721338585,0.1510332721338585
fault_minus_normal,local_vx,pitch_deg,0.14656818887558423,0.14656818887558423
fault_minus_normal,act_yaw,gps_epv,-0.1463997376456621,0.1463997376456621
fault_minus_normal,local_vz,act_pitch,0.14623619775136837,0.14623619775136837
fault_minus_normal,act_yaw,gps_eph,-0.14498784347035829,0.14498784347035829
fault_minus_normal,local_vx,act_pitch,0.144034382503808,0.144034382503808
fault_minus_normal,local_x,yaw_deg,0.1432266239164168,0.1432266239164168
fault_minus_normal,local_z,output_std,0.1421954007139968,0.1421954007139968
fault_minus_normal,local_vy,pitch_deg,-0.14044948015250638,0.14044948015250638
fault_minus_normal,local_vz,output_range,0.13961138127869382,0.13961138127869382
fault_minus_normal,local_x,roll_deg,0.13862675160495533,0.13862675160495533
fault_minus_normal,local_z,yaw_deg,0.1289797691886679,0.1289797691886679
fault_minus_normal,pitch_deg,act_roll,-0.12665791818900365,0.12665791818900365
fault_minus_normal,pitch_deg,act_thrust,-0.12583692838941718,0.12583692838941718
fault_minus_normal,yaw_deg,output_range,0.12466793530120594,0.12466793530120594
fault_minus_normal,act_pitch,vel_test_ratio,0.12035794140988176,0.12035794140988176
fault_minus_normal,pitch_deg,vel_test_ratio,0.12001394587610997,0.12001394587610997
fault_minus_normal,roll_deg,vel_test_ratio,0.11970378642280945,0.11970378642280945
fault_minus_normal,act_pitch,mag_test_ratio,0.1197021262217339,0.1197021262217339
fault_minus_normal,local_z,act_roll,-0.11772797590262363,0.11772797590262363
fault_minus_normal,local_y,output_range,-0.11402898466545577,0.11402898466545577
fault_minus_normal,local_vx,local_vy,0.11247744011373162,0.11247744011373162
fault_minus_normal,local_y,local_ay,-0.11181128423813289,0.11181128423813289
fault_minus_normal,pitch_deg,yaw_deg,0.11092179231464494,0.11092179231464494
fault_minus_normal,act_pitch,act_yaw,0.10704723132137571,0.10704723132137571
fault_minus_normal,local_y,output_std,-0.10550040690139567,0.10550040690139567
fault_minus_normal,battery_remaining,hgt_test_ratio,0.10538159356553921,0.10538159356553921
fault_minus_normal,output_std,gps_eph,0.10518392358933126,0.10518392358933126
fault_minus_normal,local_z,local_az,-0.10458799874331906,0.10458799874331906
fault_minus_normal,output_std,gps_epv,0.10447797661068012,0.10447797661068012
fault_minus_normal,output_range,gps_eph,0.10444696642020582,0.10444696642020582
fault_minus_normal,output_range,gps_epv,0.10387380505644561,0.10387380505644561
fault_minus_normal,output_mean,gps_eph,-0.10320881126264866,0.10320881126264866
fault_minus_normal,local_vz,output_mean,0.10310865190321436,0.10310865190321436
fault_minus_normal,output_mean,gps_epv,-0.10294180490614913,0.10294180490614913
fault_minus_normal,output_range,mag_test_ratio,0.10192697480127902,0.10192697480127902
fault_minus_normal,local_vx,battery_remaining,0.10051548253230802,0.10051548253230802
fault_minus_normal,local_x,battery_remaining,0.09984999405626327,0.09984999405626327
fault_minus_normal,local_y,roll_deg,0.09953094935298096,0.09953094935298096
fault_minus_normal,local_vz,pitch_deg,0.09730787921310824,0.09730787921310824
fault_minus_normal,act_yaw,battery_remaining,0.09713915094618476,0.09713915094618476
fault_minus_normal,local_vy,output_range,-0.09668584612026353,0.09668584612026353
fault_minus_normal,pitch_deg,mag_test_ratio,0.09545971817336742,0.09545971817336742
fault_minus_normal,roll_deg,hgt_test_ratio,0.09403243730688851,0.09403243730688851
fault_minus_normal,local_vz,hgt_test_ratio,0.09252830306735417,0.09252830306735417
