candidate,rotation,policy,canonical_case_id,domain,fault_family,evaluation_role,detected,alarm_events,false_alarm_events,normal_calibration_holdout,exposure_hours,normal_exposure_hours
W1,4,critical,rfly_8eb4d25815293dacf518,HIL,Environment,environment_robustness,,0,0,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_58a8b73bef949bd79c8c,HIL,Environment,environment_robustness,,1,1,False,0.0225,0.0225
W1,4,critical,rfly_11bbdca268b391adf818,HIL,Environment,environment_robustness,,0,0,False,0.0225,0.0225
W1,4,critical,rfly_518ef74cfd361ce05bf7,HIL,Environment,environment_robustness,,0,0,False,0.021944444444444444,0.021944444444444444
W1,4,critical,rfly_6313895237c3b069385f,HIL,Environment,environment_robustness,,0,0,False,0.0225,0.0225
W1,4,critical,rfly_d581e1a33631aee35748,HIL,Environment,environment_robustness,,0,0,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_6d9bdde831ec7b33af64,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_e793ff42517565532d59,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_81b3b83dd28eebeacfa4,HIL,Environment,environment_robustness,,0,0,False,0.0225,0.0225
W1,4,critical,rfly_70db911fc641b86602ed,HIL,Environment,environment_robustness,,1,1,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_bf700500996df894df8d,HIL,Environment,environment_robustness,,1,1,False,0.0225,0.0225
W1,4,critical,rfly_c92d3f4fd400c095abe6,HIL,Environment,environment_robustness,,2,2,False,0.0225,0.0225
W1,4,critical,rfly_4bbb4ee43d1cfd6d4fd4,HIL,Environment,environment_robustness,,0,0,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_82a2b7cbd4a8f70f09ef,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_6b4610665b90e7f27217,HIL,Environment,environment_robustness,,1,1,False,0.0225,0.0225
W1,4,critical,rfly_ac004c6d525826b5eac7,HIL,Environment,environment_robustness,,0,0,False,0.0225,0.0225
W1,4,critical,rfly_e022b0931b395d611bbf,HIL,Environment,environment_robustness,,0,0,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_5342e73fe4792b47eb85,HIL,Environment,environment_robustness,,0,0,False,0.021944444444444444,0.021944444444444444
W1,4,critical,rfly_dac01d9340a176aff1b7,HIL,Environment,environment_robustness,,0,0,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_5c8bc893e85a20622689,HIL,Environment,environment_robustness,,0,0,False,0.021944444444444444,0.021944444444444444
W1,4,critical,rfly_4023fdc176cec37138d6,HIL,Environment,environment_robustness,,0,0,False,0.021944444444444444,0.021944444444444444
W1,4,critical,rfly_3028e180ae9c593a344c,HIL,Environment,environment_robustness,,0,0,False,0.01611111111111111,0.01611111111111111
W1,4,critical,rfly_3bb02a5e34262d388b24,HIL,Environment,environment_robustness,,0,0,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_f5ae2b9aad62fb456a5c,HIL,Environment,environment_robustness,,0,0,False,0.016944444444444446,0.016944444444444446
W1,4,critical,rfly_e8f03c2ab1a0527a9052,HIL,Environment,environment_robustness,,0,0,False,0.021944444444444444,0.021944444444444444
W1,4,critical,rfly_275a1067e087f08f93c2,HIL,Environment,environment_robustness,,1,1,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_7ff1189c042dc7a664a1,HIL,Environment,environment_robustness,,0,0,False,0.021944444444444444,0.021944444444444444
W1,4,critical,rfly_cc592568caf1cb485787,HIL,Environment,environment_robustness,,0,0,False,0.022222222222222223,0.022222222222222223
W1,4,critical,rfly_4817a0121febff81ada7,HIL,Environment,environment_robustness,,0,0,False,0.017222222222222222,0.017222222222222222
W1,4,critical,rfly_c4d41553e6e9ffa5ef1b,HIL,Environment,environment_robustness,,0,0,False,0.021944444444444444,0.021944444444444444
W1,4,critical,rfly_a8ca28adf026497be334,HIL,Environment,environment_robustness,,0,0,False,0.021944444444444444,0.021944444444444444
W1,4,critical,rfly_e701ec54a096a0218c25,HIL,Environment,environment_robustness,,0,0,False,0.0225,0.0225
W1,4,critical,rfly_1fdb2fb4678fb45b78fc,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_769fc0a1525cd25f1627,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_9183be8bac9a7fb89db2,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_e538614c9ff09bcb00c6,HIL,Environment,environment_robustness,,0,0,False,0.0225,0.0225
W1,4,critical,rfly_c52bf982d2bebc22ebff,HIL,Environment,environment_robustness,,0,0,False,0.015555555555555555,0.015555555555555555
W1,4,critical,rfly_5cdd6e4e3d9eadc654ca,HIL,Environment,environment_robustness,,0,0,False,0.015555555555555555,0.015555555555555555
W1,4,critical,rfly_def502e9d1877205e595,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_e192cd6fe69334d8a12c,HIL,Environment,environment_robustness,,0,0,False,0.023055555555555555,0.023055555555555555
W1,4,critical,rfly_9b38605cf155867aadb3,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_0c349ad1b2f11aa4becf,HIL,Environment,environment_robustness,,0,0,False,0.023055555555555555,0.023055555555555555
W1,4,critical,rfly_b659bbfa9092d90e5262,HIL,Environment,environment_robustness,,0,0,False,0.023055555555555555,0.023055555555555555
W1,4,critical,rfly_656b43243098df1ff7bf,HIL,Environment,environment_robustness,,0,0,False,0.023055555555555555,0.023055555555555555
W1,4,critical,rfly_eb8bfa13e5ff9ab31b00,HIL,Environment,environment_robustness,,0,0,False,0.02277777777777778,0.02277777777777778
W1,4,critical,rfly_bf24c4c0362b504555f0,HIL,Environment,environment_robustness,,0,0,False,0.023055555555555555,0.023055555555555555
