source_id,flight_label,eval_group,dominant_module,dominant_module_score,hypothesis
00_02_49,normal,sead_normal,itki_komutu,0.9959781392950191,actuator/motor hypothesis
2018-05-26/16_18_10,mechanical_fault,sead_anomaly,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-05-26/16_19_20,external_position_anomaly,sead_anomaly,itki_komutu,0.9990857885325064,actuator/motor hypothesis
2018-05-26/16_27_25,normal,sead_normal,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-05-26/16_38_09,normal,sead_normal,itki_komutu,0.9997287504437107,actuator/motor hypothesis
2018-05-26/16_45_09,normal,sead_normal,itki_komutu,0.9990589984528729,actuator/motor hypothesis
2018-05-26/16_48_10,external_position_anomaly,sead_anomaly,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-05-26/16_50_01,external_position_anomaly,sead_anomaly,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-05-26/16_50_55,normal,sead_normal,itki_komutu,0.999574707485818,actuator/motor hypothesis
2018-05-31/15_58_30,normal,sead_normal,itki_komutu,0.9989384430945221,actuator/motor hypothesis
2018-05-31/16_07_48,external_position_anomaly,sead_anomaly,itki_komutu,0.9990589984528729,actuator/motor hypothesis
2018-06-04/18_01_59,external_position_anomaly,sead_anomaly,itki_komutu,0.9963197128103464,actuator/motor hypothesis
2018-06-04/18_05_54,mechanical_fault,sead_anomaly,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-06-04/18_15_21,normal,sead_normal,itki_komutu,0.9956432632996002,actuator/motor hypothesis
2018-06-04/18_17_58,mechanical_fault,sead_anomaly,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-06-04/18_21_53,altitude_anomaly,sead_anomaly,itki_komutu,0.9956432632996002,actuator/motor hypothesis
2018-06-04/18_25_07,normal,sead_normal,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-06-04/18_33_02,normal,sead_normal,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-06-04/18_36_56,normal,sead_normal,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-06-04/18_48_21,normal,sead_normal,itki_komutu,0.9956432632996002,actuator/motor hypothesis
2018-06-04/19_00_07,external_position_anomaly,sead_anomaly,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-06-04/19_02_08,normal,sead_normal,itki_komutu,0.9962661326510793,actuator/motor hypothesis
2018-06-04/19_09_21,normal,sead_normal,itki_komutu,0.9962661326510793,actuator/motor hypothesis
