canonical_case_id,domain,fault_family,evaluation_role,detected,false_alarm_events,detection_delay_s,normal_exposure_s,policy
rfly_7b9c7d3da817d2f17602,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_775cf91757d68b261fe9,HIL,Environment,environment_robustness,False,1,,67,critical
rfly_7ab3bccee9dc36006031,HIL,Environment,environment_robustness,False,1,,65,critical
rfly_78544715059accd07d65,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_ef48786c66867dcf10b4,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_861db941d934d6f0d67a,HIL,Environment,environment_robustness,False,1,,68,critical
rfly_521ee04a9322ef019e18,HIL,Environment,environment_robustness,False,1,,67,critical
rfly_0f68df32ea08846be3ba,HIL,Environment,environment_robustness,False,1,,68,critical
rfly_96b3a7a2ae5e73ca6037,HIL,Environment,environment_robustness,False,0,,52,critical
rfly_ef7d2deb1211485e2081,HIL,Environment,environment_robustness,False,0,,66,critical
rfly_e3dc3713843b61065569,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_60cb66800ca2c7f462b8,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_7197bb8a61da53624e8b,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_c083c985570b44748fcf,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_d82a8d6178c9ac80bc47,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_4f8e814ce8bb391d95e8,HIL,Environment,environment_robustness,False,0,,69,critical
rfly_6b7e529cf9e82b26db8c,HIL,Environment,environment_robustness,False,0,,71,critical
rfly_aa62f98b3a960011c0bb,HIL,Environment,environment_robustness,False,0,,69,critical
rfly_38336bba163a1d69ac4c,HIL,Environment,environment_robustness,False,1,,70,critical
rfly_65924f90d11f8d725bcf,HIL,Environment,environment_robustness,False,1,,70,critical
rfly_813d83f307d338e8b0ab,HIL,Environment,environment_robustness,False,1,,69,critical
rfly_7b314b9b3a7b2740afda,HIL,Environment,environment_robustness,False,0,,69,critical
rfly_a75b88589b56baab598a,HIL,Environment,environment_robustness,False,0,,69,critical
rfly_c63faed405ebf4d87a00,HIL,Environment,environment_robustness,False,1,,68,critical
rfly_18221920cc931b715fb6,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_9b0b20d8b27ba082beb4,HIL,Environment,environment_robustness,False,1,,68,critical
rfly_81f22d55a3f2a4a148ca,HIL,Environment,environment_robustness,False,0,,69,critical
rfly_52f4cc7e349f489027f9,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_63d056ec2dd0efd239f6,HIL,Environment,environment_robustness,False,1,,68,critical
rfly_ca899445cb916cc55b2f,HIL,Environment,environment_robustness,False,1,,68,critical
rfly_1ef5195960b177c7bb95,HIL,Environment,environment_robustness,False,1,,68,critical
rfly_abf67d0d91097d78983e,HIL,Environment,environment_robustness,False,1,,69,critical
rfly_4617b2c11548395bef60,HIL,Environment,environment_robustness,False,1,,69,critical
rfly_2f5f19957a903382baca,HIL,Environment,environment_robustness,False,1,,70,critical
rfly_834e9e868bba7bb01649,HIL,Environment,environment_robustness,False,1,,70,critical
rfly_79ea442b06900d0ef2b4,HIL,Environment,environment_robustness,False,1,,69,critical
